Index, Torque (N-m), Thrust (N),Voltage,Current,RPM,Mechanical Power,Electrical Power,Motor Efficiency,Prop Efficiency,System Efficiency
1,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,2,2,2,2,2,2
4,3,3,3,3,3,3,3,3,3,3
5,4,4,4,4,4,4,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5
7,6,6,6,6,6,6,6,6,6,6
8,7,7,7,7,7,7,7,7,7,7
9,8,8,8,8,8,8,8,8,8,8
10,9,9,9,9,9,9,9,9,9,9
11,10,10,10,10,10,10,10,10,10,10
12,11,11,11,11,11,11,11,11,11,11
13,12,12,12,12,12,12,12,12,12,12
14,13,13,13,13,13,13,13,13,13,13
15,14,14,14,14,14,14,14,14,14,14
16,15,15,15,15,15,15,15,15,15,15
17,16,16,16,16,16,16,16,16,16,16
18,17,17,17,17,17,17,17,17,17,17
19,18,18,18,18,18,18,18,18,18,18
20,19,19,19,19,19,19,19,19,19,19
21,20,20,20,20,20,20,20,20,20,20
22,21,21,21,21,21,21,21,21,21,21
23,22,22,22,22,22,22,22,22,22,22
24,23,23,23,23,23,23,23,23,23,23
25,24,24,24,24,24,24,24,24,24,24
26,25,25,25,25,25,25,25,25,25,25
27,26,26,26,26,26,26,26,26,26,26
28,27,27,27,27,27,27,27,27,27,27
29,28,28,28,28,28,28,28,28,28,28
30,29,29,29,29,29,29,29,29,29,29
31,30,30,30,30,30,30,30,30,30,30
32,31,31,31,31,31,31,31,31,31,31
33,32,32,32,32,32,32,32,32,32,32
34,33,33,33,33,33,33,33,33,33,33
35,34,34,34,34,34,34,34,34,34,34
36,35,35,35,35,35,35,35,35,35,35
37,36,36,36,36,36,36,36,36,36,36
38,37,37,37,37,37,37,37,37,37,37
39,38,38,38,38,38,38,38,38,38,38
40,39,39,39,39,39,39,39,39,39,39
